"Pathway","kw_p","kw_padj"
"JAK-STAT",0,0
"PI3K",0,0
"Hypoxia",7.74052647339481e-320,3.61226215643911e-319
"VEGF",7.93683705645487e-247,2.7778929697592e-246
"p53",1.56125972633309e-204,4.37152723373266e-204
"Trail",3.71015745503855e-175,8.65703406175661e-175
"MAPK",3.92545199732825e-170,7.8509039946565e-170
"Estrogen",2.21907975231529e-133,3.88338956655177e-133
"EGFR",6.97191634879942e-133,1.08452032092435e-132
"TGFb",6.66984949634649e-117,9.33778929488509e-117
"Androgen",3.32968890981767e-71,4.23778588522249e-71
"NFkB",1.52337097749421e-54,1.77726614040991e-54
"WNT",1.45773414355114e-34,1.56986753920892e-34
"TNFa",1.98377940744273e-07,1.98377940744273e-07
