"Pathway","p","r","diff","n1","n2","group1","group2","contrast","padj","label"
"Androgen",7.3176600249664e-55,-0.138296555373825,-0.220993060839479,11049,6884,"infectedD4","naive","infectedD4
vs naive",1.39700782294813e-54,"***"
"EGFR",2.77036961347089e-33,-0.106566654723671,-0.198681810925205,11049,6884,"infectedD4","naive","infectedD4
vs naive",4.4752124525299e-33,"***"
"Estrogen",1.48308675465418e-132,0.217199712926345,0.349029358542405,11049,6884,"infectedD4","naive","infectedD4
vs naive",4.44926026396254e-132,"***"
"Hypoxia",3.9959105899501e-72,-0.159223250883537,-0.268680672852735,11049,6884,"infectedD4","naive","infectedD4
vs naive",8.3914122388952e-72,"***"
"JAK-STAT",6.81190165340175e-215,0.277378503416901,0.409992809790661,11049,6884,"infectedD4","naive","infectedD4
vs naive",4.76833115738122e-214,"***"
"MAPK",6.91141921905035e-161,-0.239613629614297,-0.422358097658165,11049,6884,"infectedD4","naive","infectedD4
vs naive",2.41899672666762e-160,"***"
"NFkB",4.24356232783458e-28,-0.0974350746179569,-0.205069894572826,11049,6884,"infectedD4","naive","infectedD4
vs naive",6.36534349175188e-28,"ns"
"PI3K",0.000838920115257249,0.0296069555251977,0.0362839836854235,11049,6884,"infectedD4","naive","infectedD4
vs naive",0.00097874013446679,"ns"
"TGFb",0.849808838355316,-0.00167877715920661,0.010377720177424,11049,6884,"infectedD4","naive","infectedD4
vs naive",0.849808838355316,"ns"
"TNFa",3.75921184167642e-06,-0.0409957934464347,-0.0840496776321796,11049,6884,"infectedD4","naive","infectedD4
vs naive",4.64373227501205e-06,"ns"
"Trail",0.00185165634465589,0.0275982866244386,0.0418545892365487,11049,6884,"infectedD4","naive","infectedD4
vs naive",0.00210188017501479,"ns"
"VEGF",0.232322331008638,-0.0105887728789756,-0.00760854456696636,11049,6884,"infectedD4","naive","infectedD4
vs naive",0.250193279547764,"ns"
"WNT",2.88746907157463e-10,0.0558934320831368,0.0981318640066773,11049,6884,"infectedD4","naive","infectedD4
vs naive",3.91205487116563e-10,"ns"
"p53",0.547746711638868,0.00532933193004448,0.0152991901561213,11049,6884,"infectedD4","naive","infectedD4
vs naive",0.561106387532499,"ns"
"Androgen",1.05842332870438e-47,-0.190534663712958,-0.360199846221031,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",1.85224082523267e-47,"***"
"EGFR",1.40838873495355e-126,-0.314278840167677,-0.563434866203183,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",3.94348845786994e-126,"***"
"Estrogen",1.14548985061366e-05,0.0576191600260092,0.0890947246729472,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",1.3745878207364e-05,"ns"
"Hypoxia",2.80452827433408e-305,-0.490441949586342,-0.865784931907655,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",2.94475468805078e-304,"***"
"JAK-STAT",0,0.511965288730251,0.897851022824051,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",0,"***"
"MAPK",1.52255124073232e-69,-0.23147943990205,-0.368611154234716,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",3.04510248146465e-69,"***"
"NFkB",9.45735446235256e-48,-0.190636046145652,-0.38369236800369,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",1.72699516269047e-47,"***"
"PI3K",0,0.527548136119643,0.984449767893462,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",0,"***"
"TGFb",4.77835515614981e-98,-0.27596795363991,-0.514081548470943,2688,6884,"granulomaD4","naive","granulomaD4
vs naive",1.11494953643496e-97,"***"
