"Pathway","Condition","depth_bin","diff","r","p"
"Androgen","naive","Q1",0.191099247800068,0.101290783049741,5.94311234613776e-07
"Androgen","naive","Q2",0.219597662889577,0.136934300132012,8.85629756764697e-10
"Androgen","naive","Q3",0.169774027086754,0.109065144419208,7.44476418447925e-07
"Androgen","naive","Q4",0.18003241626187,0.122610954942638,5.88365061700815e-08
"Androgen","infectedD4","Q1",0.182662122767204,0.102576702342175,1.29256512142428e-07
"Androgen","infectedD4","Q2",0.158069798153662,0.0957677001528288,7.72164704831944e-08
"Androgen","infectedD4","Q3",0.0996869662381592,0.0739383599561152,0.000121937474447111
"Androgen","infectedD4","Q4",0.152553291676941,0.109363132977567,3.96433446449074e-05
"Androgen","granulomaD4","Q1",0.779602636795798,0.316477228794557,4.96130808600308e-17
"Androgen","granulomaD4","Q2",-0.116501444924046,-0.0728322832283228,0.298398711196507
"Androgen","granulomaD4","Q3",-0.0997864237146091,-0.0834450616101641,0.26396271034111
"Androgen","granulomaD4","Q4",-0.00336206534508646,0.0303236166007905,0.510381997531523
"EGFR","naive","Q1",0.192832614454191,0.0950692087499905,2.78096817773273e-06
"EGFR","naive","Q2",0.264403917641713,0.142102318608119,2.01658699644352e-10
"EGFR","naive","Q3",0.192850339304327,0.107434021426705,1.0860690404549e-06
"EGFR","naive","Q4",0.160412158376901,0.101063116736132,7.8448866231256e-06
"EGFR","infectedD4","Q1",0.105569757219017,0.0528134015821313,0.0065590712229471
"EGFR","infectedD4","Q2",0.0891772726091428,0.0476238897211252,0.00753635015628703
"EGFR","infectedD4","Q3",0.0861384308162632,0.0514338053970267,0.0075232866678688
"EGFR","infectedD4","Q4",0.121286109066546,0.0785004265854761,0.0031796873477668
"EGFR","granulomaD4","Q1",-0.10359947622528,-0.0809647913909243,0.0318950544375792
"EGFR","granulomaD4","Q2",-0.0417552031742004,-0.0399039903990399,0.569021781928762
"EGFR","granulomaD4","Q3",0.117252823097384,0.0610355615143969,0.413948700823773
"EGFR","granulomaD4","Q4",-0.0214135948497505,-0.0206737895256917,0.65361568331551
"Estrogen","naive","Q1",-0.0756292553659611,-0.0424212052876548,0.0365180195052442
"Estrogen","naive","Q2",-0.0778412364996516,-0.0454235531780612,0.0420520343863334
"Estrogen","naive","Q3",-0.10892398588151,-0.0725874856786798,0.000987656366574801
"Estrogen","naive","Q4",-0.0178392609731983,-0.0136274189768743,0.546752309108888
"Estrogen","infectedD4","Q1",-0.0202616917514604,-0.0185915929889872,0.338594558989052
"Estrogen","infectedD4","Q2",-0.0251184118662171,-0.0165690680466658,0.352537224862747
"Estrogen","infectedD4","Q3",-0.00667255501335925,-0.0023039526527161,0.904711333740229
"Estrogen","infectedD4","Q4",0.0410957103573808,0.0305836693042474,0.250462291297485
"Estrogen","granulomaD4","Q1",0.192931101649169,0.0902615743583446,0.0167513674781063
"Estrogen","granulomaD4","Q2",0.0284742313273621,0.0196519651965197,0.779329757993173
"Estrogen","granulomaD4","Q3",0.241146247598775,0.0849773351209857,0.255289950508831
"Estrogen","granulomaD4","Q4",0.390467756315726,0.180343688241107,9.0335244911897e-05
"Hypoxia","naive","Q1",0.17289436083262,0.0928634883032278,4.70256439497348e-06
"Hypoxia","naive","Q2",0.17810530282252,0.107469539502876,1.50924752731207e-06
"Hypoxia","naive","Q3",0.178113246966376,0.113362545476473,2.68371115617537e-07
"Hypoxia","naive","Q4",0.104924422350415,0.064557556581367,0.00430424089054946
"Hypoxia","infectedD4","Q1",0.0969417095835757,0.0539599813866916,0.00547861071972496
"Hypoxia","infectedD4","Q2",0.0381671171431965,0.0218445382601722,0.220316926852959
"Hypoxia","infectedD4","Q3",0.0431544354060752,0.0249504282795341,0.194790438302232
"Hypoxia","infectedD4","Q4",0.142523864351696,0.09977817555247,0.000177278325465331
"Hypoxia","granulomaD4","Q1",0.653633254261262,0.348333719941236,2.65837002324962e-20
"Hypoxia","granulomaD4","Q2",0.249248957798377,0.145064506450645,0.0382924259871199
"Hypoxia","granulomaD4","Q3",0.355451874049154,0.241269233224797,0.00123502573148133
"Hypoxia","granulomaD4","Q4",0.330852889962197,0.206853693181818,7.09837233352493e-06
"JAK-STAT","naive","Q1",0.182012012748096,0.158641033233867,5.27785640024527e-15
"JAK-STAT","naive","Q2",0.199138915029697,0.194554178482942,3.10187602213249e-18
"JAK-STAT","naive","Q3",0.143360996528774,0.136285702799944,6.22348318856874e-10
"JAK-STAT","naive","Q4",0.172536330594051,0.145233268626032,1.33837181048104e-10
"JAK-STAT","infectedD4","Q1",0.163064307077302,0.114017062199473,4.39054011108536e-09
"JAK-STAT","infectedD4","Q2",0.212733872887124,0.15319422377573,8.27462847248567e-18
"JAK-STAT","infectedD4","Q3",0.185066866183069,0.124035993598454,1.1520158710109e-10
"JAK-STAT","infectedD4","Q4",0.209448161920034,0.138156816166753,2.08564004742982e-07
"JAK-STAT","granulomaD4","Q1",0.442038528084346,0.223554882402973,3.12585326432317e-09
"JAK-STAT","granulomaD4","Q2",0.253184908323985,0.163816381638164,0.0193053709537072
"JAK-STAT","granulomaD4","Q3",0.23932520000455,0.0815297197216369,0.275086547484278
"JAK-STAT","granulomaD4","Q4",0.145754129100663,0.137483016304348,0.00283877539682915
"MAPK","naive","Q1",0.200899227181262,0.107266349285893,1.23918752684342e-07
"MAPK","naive","Q2",0.301053189118866,0.169376624307215,3.43449176148731e-14
"MAPK","naive","Q3",0.221938060299483,0.127732105887319,6.7713474544451e-09
"MAPK","naive","Q4",0.205713826864275,0.135146502172999,2.27743049582973e-09
"MAPK","infectedD4","Q1",0.130174836878792,0.0668286024507523,0.000582055569157735
"MAPK","infectedD4","Q2",0.122014111105883,0.0675527713468609,0.000150420018445731
"MAPK","infectedD4","Q3",0.106235856602407,0.0654215860937484,0.000674787635528801
