"Pathway","p","r","diff","n_pos","n_neg","Condition","padj","group1","group2","label"
"Androgen",1.34860661890965e-49,0.159042669792409,0.27564701955117,6884,4978,"naive",3.77609853294702e-49,"Osmr_neg","Osmr_pos","***"
"EGFR",8.64161589649785e-18,0.0922824518526491,0.168301848193889,6884,4978,"naive",1.51228278188712e-17,"Osmr_neg","Osmr_pos","ns"
"Estrogen",5.30654001178148e-13,-0.0775279328989448,-0.131405826785231,6884,4978,"naive",7.42915601649407e-13,"Osmr_neg","Osmr_pos","ns"
"Hypoxia",3.56761021792828e-16,0.0875738782309798,0.146748512290908,6884,4978,"naive",5.5496158945551e-16,"Osmr_neg","Osmr_pos","ns"
"JAK-STAT",8.61515727175233e-86,0.210864468390727,0.240958273724501,6884,4978,"naive",1.20612201804533e-84,"Osmr_neg","Osmr_pos","***"
"MAPK",4.64976910777138e-29,0.120186344611234,0.206441299703913,6884,4978,"naive",9.29953821554277e-29,"Osmr_neg","Osmr_pos","***"
"NFkB",8.16185746819463e-68,0.18691901542849,0.359646366687704,6884,4978,"naive",2.85665011386812e-67,"Osmr_neg","Osmr_pos","***"
"PI3K",0.042244052107639,-0.0218183715495186,-0.039153659079857,6884,4978,"naive",0.0454935945774574,"Osmr_neg","Osmr_pos","ns"
"TGFb",3.23956602040782e-70,0.190291028345756,0.304648696931179,6884,4978,"naive",1.51179747619031e-69,"Osmr_neg","Osmr_pos","***"
"TNFa",6.22302801287104e-76,0.198088906703732,0.368481973811878,6884,4978,"naive",4.35611960900973e-75,"Osmr_neg","Osmr_pos","***"
"Trail",9.70016316565469e-06,0.0475203621092599,0.0688680942741309,6884,4978,"naive",1.13168570265971e-05,"Osmr_neg","Osmr_pos","ns"
"VEGF",2.48927520118492e-08,0.0598766472537269,0.100142080401374,6884,4978,"naive",3.16816843787172e-08,"Osmr_neg","Osmr_pos","ns"
"WNT",0.776680823109403,-0.00304699188924007,-0.00600718359818632,6884,4978,"naive",0.776680823109403,"Osmr_neg","Osmr_pos","ns"
"p53",5.0112561649368e-36,0.134616075987103,0.234475505410398,6884,4978,"naive",1.16929310515192e-35,"Osmr_neg","Osmr_pos","***"
"Androgen",1.88866790777249e-44,0.138502604303474,0.223788200538375,11049,4910,"infectedD4",6.6103376772037e-44,"Osmr_neg","Osmr_pos","***"
"EGFR",4.88475145300752e-07,0.0498183706389184,0.0885857205328569,11049,4910,"infectedD4",7.59850226023393e-07,"Osmr_neg","Osmr_pos","ns"
"Estrogen",0.00753021082243298,-0.026464375779139,-0.0435504973942155,11049,4910,"infectedD4",0.00958390468309652,"Osmr_neg","Osmr_pos","ns"
"Hypoxia",3.29439164349359e-05,0.0411170090500399,0.0656344720708082,11049,4910,"infectedD4",4.61214830089103e-05,"Osmr_neg","Osmr_pos","ns"
"JAK-STAT",4.1422591736781e-81,0.188885429633115,0.273629355867683,11049,4910,"infectedD4",2.89958142157467e-80,"Osmr_neg","Osmr_pos","***"
"MAPK",3.30136490618006e-14,0.0751211000654555,0.131570549300758,11049,4910,"infectedD4",6.60272981236011e-14,"Osmr_neg","Osmr_pos","ns"
"NFkB",3.18877923276997e-70,0.175430423890321,0.278403492196939,11049,4910,"infectedD4",1.48809697529265e-69,"Osmr_neg","Osmr_pos","***"
"PI3K",0.0272576163925437,0.0218632829615308,0.0346434728544714,11049,4910,"infectedD4",0.0318005524579677,"Osmr_neg","Osmr_pos","ns"
"TGFb",9.03953036068036e-40,0.130693362044542,0.225654385974752,11049,4910,"infectedD4",2.5310685009905e-39,"Osmr_neg","Osmr_pos","***"
"TNFa",1.7123845400804e-84,0.19287734935233,0.310471234028477,11049,4910,"infectedD4",2.39733835611257e-83,"Osmr_neg","Osmr_pos","***"
"Trail",0.207047808910534,-0.012494500059815,-0.027359337262646,11049,4910,"infectedD4",0.207047808910534,"Osmr_neg","Osmr_pos","ns"
"VEGF",4.1896500936586e-22,0.0957231985864118,0.163962017330541,11049,4910,"infectedD4",9.77585021853672e-22,"Osmr_neg","Osmr_pos","ns"
"WNT",0.0575775914564302,0.0188042563223736,0.0341685053718858,11049,4910,"infectedD4",0.0620066369530786,"Osmr_neg","Osmr_pos","ns"
"p53",1.18780011182114e-13,0.0734595881814373,0.119201821100519,11049,4910,"infectedD4",2.078650195687e-13,"Osmr_neg","Osmr_pos","ns"
"Androgen",1.40307760269699e-60,0.379651213933849,1.00596386566209,2688,812,"granulomaD4",6.54769547925262e-60,"Osmr_neg","Osmr_pos","***"
"EGFR",2.22278564223188e-06,-0.109418983110486,-0.135432111782646,2688,812,"granulomaD4",2.59324991593719e-06,"Osmr_neg","Osmr_pos","***"
